,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grand Zenova,21,Final boss tier. Absolute elite 🚀,1.25x,1250,,8,Seeker,20,125,1 more trackers unlocked,2,12.5,,Nova-streak,1 Medal,Yes,+300,,,Tracking X,100 NC,110 NC till next 7 days on streak maintenance,121 NC till next 7 days on streak maintenance,133 NC till next 7 days on streak maintenance,Till it becomes 150%
,,,,,,,9,Seeker,20,145,500 Nova coins + coupons,2,14.5,,Every 7-day Nova-streak,7 Medals,Yes,+1000,"Earning Nova-coins gets an additional 20% boost every 7 days of successful Nova-streaks, boosting cap at 200% per day (e.g. if an event gave 100 NC earlier, now it can give max 200 NC , same 20% boosting applicable on overall NC limites per day [100-->120-->.......-->200])",,Overall limit,1100 NC (say for Rank Achiever),1210 NC (say for Rank Achiever),1330 NC (say for Rank Achiever),,No limit here
,,,,,1 Rs = 10 Nova Coins,,10,Seeker,20,165,600 Nova coins + coupons,2,16.5,,"Referring a friend (friend should install the app and enter your referral code), can be kept as a task in daily quest too",3 Medals,No,+2000,,,,,,,,
,,,,,,,11,Seeker,20,185,700 Nova coins + coupons,2,18.5,,,,,,,,Explaining - 7 days Nova - streak effect,Regular (Day 1 to Day 7 - when the streak is maintained),7 days streak done (from day 8),14 days streak done (from day 15),,
,,,,,,,12,Seeker,20,205,800 Nova coins + coupons,2,20.5,,,,,,,,Tracking X,100 NC,120 NC till next 7 days on streak maintenance,144 NC till next 7 days on streak maintenance,173 NC till next 7 days on streak maintenance,Till it becomes 200%
,,,,,,,14,Achiever,20,225,900 Nova coins + coupons,2,22.5,,,,,,,,Overall limit,1100 NC (say for Rank Achiever),1100*1.2 NC (say for Rank Achiever),1100*1.2*1.2 NC (say for Rank Achiever),,No limit here
,,,,,,,15,Achiever,20,245,1000 Nova coins + coupons,2,24.5,,,,,,,,,,,,,
,,,,,,,16,Achiever,20,265,1000 Nova coins + coupons,2,26.5,,,,,,,,,,,,,
,,,,,,,17,Achiever,20,285,1000 Nova coins + coupons,2,28.5,,,,,,,,,,,,,
,,,,,,,18,Achiever,20,305,1000 Nova coins + coupons,2,30.5,,,,,,,,,,,,,
,,,,,,,19,Achiever,20,325,1000 Nova coins + coupons,2,32.5,,,,,,,,,,,,,
,,,,,,,20,Achiever,20,345,1000 Nova coins + coupons,2,34.5,,,,,,,,,,,,,
,,,,,,,21,Zen Master,25,370,1200 Nova coins + coupons,2.5,37,,,,,,,,,,,,,
,,,,,,,22,Zen Master,25,395,1200 Nova coins + coupons,2.5,39.5,,,,,,,,,,,,,
,,,,,,,23,Zen Master,25,420,1200 Nova coins + coupons,2.5,42,,,,,,,,,,,,,
,,,,,,,24,Zen Master,25,445,1200 Nova coins + coupons,2.5,44.5,,,,,,,,,,,,,
,,,,,,,25,Zen Master,25,470,1200 Nova coins + coupons,2.5,47,,,,,,,,,,,,,
,,,,,,,26,Zen Master,25,495,1200 Nova coins + coupons,2.5,49.5,,,,,,,,,,,,,
,,,,,,,27,Zen Master,25,520,1200 Nova coins + coupons,2.5,52,,,,,,,,,,,,,
,,,,,,,28,Zen Master,25,545,1200 Nova coins + coupons,2.5,54.5,,,,,,,,,,,,,
,,,,,,,29,Life Architect,25,570,1500 Nova coins + coupons,2.5,57,,,,,,,,,,,,,
,,,,,,,30,Life Architect,25,595,1500 Nova coins + coupons,2.5,59.5,,,,,,,,,,,,,
,,,,,,,31,Life Architect,25,620,1500 Nova coins + coupons,2.5,62,,,,,,,,,,,,,
,,,,,,,32,Life Architect,25,645,1500 Nova coins + coupons,2.5,64.5,,,,,,,,,,,,,
,,,,,,,33,Life Architect,25,670,1500 Nova coins + coupons,2.5,67,,,,,,,,,,,,,
,,,,,,,34,Life Architect,25,695,1500 Nova coins + coupons,2.5,69.5,,,,,,,,,,,,,
,,,,,,,35,Life Architect,25,720,1500 Nova coins + coupons,2.5,72,,,,,,,,,,,,,
,,,,,,,36,Life Architect,25,745,1500 Nova coins + coupons,2.5,74.5,,,,,,,,,,,,,
,,,,,,,37,Life Architect,25,770,1500 Nova coins + coupons,2.5,77,,,,,,,,,,,,,
,,,,,,,38,Sage,30,800,2000 Nova coins + coupons,3,80,,,,,,,,,,,,,
,,,,,,,39,Sage,30,830,2000 Nova coins + coupons,3,83,,,,,,,,,,,,,
,,,,,,,40,Sage,30,860,2000 Nova coins + coupons,3,86,,,,,,,,,,,,,
,,,,,,,41,Sage,30,890,2000 Nova coins + coupons,3,89,,,,,,,,,,,,,
,,,,,,,42,Sage,30,920,2000 Nova coins + coupons,3,92,,,,,,,,,,,,,
,,,,,,,43,Sage,30,950,2000 Nova coins + coupons,3,95,,,,,,,,,,,,,
,,,,,,,44,Sage,30,980,2000 Nova coins + coupons,3,98,,,,,,,,,,,,,
,,,,,,,45,Sage,30,1010,2000 Nova coins + coupons,3,101,,,,,,,,,,,,,
,,,,,,,46,Sage,30,1040,2000 Nova coins + coupons,3,104,,,,,,,,,,,,,
,,,,,,,47,Sage,30,1070,2000 Nova coins + coupons,3,107,,,,,,,,,,,,,
,,,,,,,48,Ascended,30,1100,2500 Nova coins + coupons,3,110,,,,,,,,,,,,,
,,,,,,,49,Ascended,30,1130,2500 Nova coins + coupons,3,113,,,,,,,,,,,,,
,,,,,,,50,Ascended,30,1160,2500 Nova coins + coupons,3,116,,,,,,,,,,,,,
,,,,,,,51,Ascended,30,1190,2500 Nova coins + coupons,3,119,,,,,,,,,,,,,
,,,,,,,52,Ascended,30,1220,2500 Nova coins + coupons,3,122,,,,,,,,,,,,,
,,,,,,,53,Ascended,30,1250,2500 Nova coins + coupons,3,125,,,,,,,,,,,,,
,,,,,,,54,Ascended,30,1280,2500 Nova coins + coupons,3,128,,,,,,,,,,,,,
,,,,,,,55,Ascended,30,1310,2500 Nova coins + coupons,3,131,,,,,,,,,,,,,
,,,,,,,56,Ascended,30,1340,2500 Nova coins + coupons,3,134,,,,,,,,,,,,,
,,,,,,,57,Ascended,30,1370,2500 Nova coins + coupons,3,137,,,,,,,,,,,,,
,,,,,,,58,Ascended,30,1400,2500 Nova coins + coupons,3,140,,,,,,,,,,,,,
,,,,,,,59,Ascended,30,1430,2500 Nova coins + coupons,3,143,,,,,,,,,,,,,
,,,,,,,60,Ascended,30,1460,2500 Nova coins + coupons,3,146,,,,,,,,,,,,,
,,,,,,,61,Ascended,30,1490,2500 Nova coins + coupons,3,149,,,,,,,,,,,,,
,,,,,,,62,Grand Zenova,35,1525,3000 Nova coins + coupons,3.5,152.5,,,,,,,,,,,,,
,,,,,,,63,Grand Zenova,35,1560,3000 Nova coins + coupons,3.5,156,,,,,,,,,,,,,
,,,,,,,64,Grand Zenova,35,1595,3000 Nova coins + coupons,3.5,159.5,,,,,,,,,,,,,
,,,,,,,65,Grand Zenova,35,1630,3000 Nova coins + coupons,3.5,163,,,,,,,,,,,,,
,,,,,,,66,Grand Zenova,35,1665,3000 Nova coins + coupons,3.5,166.5,,,,,,,,,,,,,
,,,,,,,67,Grand Zenova,35,1700,3000 Nova coins + coupons,3.5,170,,,,,,,,,,,,,
,,,,,,,68,Grand Zenova,35,1735,3000 Nova coins + coupons,3.5,173.5,,,,,,,,,,,,,
,,,,,,,69,Grand Zenova,35,1770,3000 Nova coins + coupons,3.5,177,,,,,,,,,,,,,
,,,,,,,70,Grand Zenova,35,1805,3000 Nova coins + coupons,3.5,180.5,,,,,,,,,,,,,
,,,,,,,71,Grand Zenova,35,1840,3000 Nova coins + coupons,3.5,184,,,,,,,,,,,,,
,,,,,,,72,Grand Zenova,35,1875,3000 Nova coins + coupons,3.5,187.5,,,,,,,,,,,,,
,,,,,,,73,Grand Zenova,35,1910,3000 Nova coins + coupons,3.5,191,,,,,,,,,,,,,
,,,,,,,74,Grand Zenova,35,1945,3000 Nova coins + coupons,3.5,194.5,,,,,,,,,,,,,
,,,,,,,75,Grand Zenova,35,1980,3000 Nova coins + coupons,3.5,198,,,,,,,,,,,,,
,,,,,,,76,Grand Zenova,35,2015,3000 Nova coins + coupons,3.5,201.5,,,,,,,,,,,,,
,,,,,,,77,Grand Zenova,35,2050,3000 Nova coins + coupons,3.5,205,,,,,,,,,,,,,
,,,,,,,78,Grand Zenova,35,2085,3000 Nova coins + coupons,3.5,208.5,,,,,,,,,,,,,
,,,,,,,79,Grand Zenova,35,2120,3000 Nova coins + coupons,3.5,212,,,,,,,,,,,,,
,,,,,,,80,Grand Zenova,35,2155,3000 Nova coins + coupons,3.5,215.5,,,,,,,,,,,,,
,,,,,,,81,Grand Zenova,35,2190,3000 Nova coins + coupons,3.5,219,,,,,,,,,,,,,
,,,,,,,82,Grand Zenova,35,2225,3000 Nova coins + coupons,3.5,222.5,,,,,,,,,,,,,
,,,,,,,83,Grand Zenova,35,2260,3000 Nova coins + coupons,3.5,226,,,,,,,,,,,,,
